232,350,16,14,MO,15,6
231,350,16,24,MO,15,6
219,350,16,34,MO,15,6
227,350,16,44,MO,15,6
236,350,16,54,MO,15,6
228,350,17,4,MO,15,6
235,350,17,14,MO,15,6
246,350,17,24,MO,15,6
260,350,17,34,MO,15,6
258,350,17,44,MO,15,6
265,350,17,54,MO,15,6
271,350,18,4,MO,15,6
279,350,18,14,MO,15,6
278,350,18,24,MO,15,6
258,350,18,34,MO,15,6
272,350,18,45,MO,15,6
286,350,18,56,MO,15,6
292,350,19,6,MO,15,6
299,350,19,16,MO,15,6
304,350,19,26,MO,15,6
308,350,19,36,MO,15,6
315,350,19,46,MO,15,6
305,350,19,56,MO,15,6
293,350,20,6,MO,15,6
296,350,20,16,MO,15,6
291,350,20,26,MO,15,6
285,350,20,36,MO,15,6
268,350,20,46,MO,15,6
242,350,20,56,MO,15,6
229,350,21,6,MO,15,6
217,350,21,16,MO,15,6
191,350,21,26,MO,15,6
166,350,21,36,MO,15,6
144,350,21,46,MO,15,6
112,350,21,56,MO,15,6
65,350,22,6,MO,15,6
43,350,22,16,MO,15,6
42,350,22,26,MO,15,6
42,350,22,36,MO,15,6
42,350,22,46,MO,15,6
42,350,22,56,MO,15,6
42,350,23,6,MO,15,6
42,350,23,16,MO,15,6
42,350,23,26,MO,15,6
42,350,23,36,MO,15,6
42,350,23,46,MO,15,6
42,350,23,56,MO,15,6
42,350,0,6,DI,16,6
42,350,0,17,DI,16,6
42,350,0,27,DI,16,6
42,350,0,37,DI,16,6
42,350,0,47,DI,16,6
42,350,0,57,DI,16,6
0,350,1,7,DI,16,6
0,350,1,17,DI,16,6
0,350,1,27,DI,16,6
0,350,1,37,DI,16,6
0,350,1,47,DI,16,6
0,350,1,57,DI,16,6
0,350,2,7,DI,16,6
0,350,2,17,DI,16,6
0,350,2,27,DI,16,6
0,350,2,37,DI,16,6
0,350,2,47,DI,16,6
0,350,2,57,DI,16,6
0,350,3,7,DI,16,6
0,350,3,17,DI,16,6
0,350,3,27,DI,16,6
0,350,3,37,DI,16,6
0,350,3,47,DI,16,6
0,350,3,57,DI,16,6
0,350,4,7,DI,16,6
0,350,4,17,DI,16,6
0,350,4,27,DI,16,6
0,350,4,37,DI,16,6
0,350,4,47,DI,16,6
0,350,4,57,DI,16,6
0,350,5,7,DI,16,6
0,350,5,17,DI,16,6
0,350,5,27,DI,16,6
0,350,5,37,DI,16,6
0,350,5,47,DI,16,6
0,350,5,57,DI,16,6
0,350,6,7,DI,16,6
0,350,6,17,DI,16,6
0,350,6,27,DI,16,6
0,350,6,37,DI,16,6
0,350,6,47,DI,16,6
0,350,6,58,DI,16,6
0,350,7,8,DI,16,6
0,350,7,18,DI,16,6
0,350,7,28,DI,16,6
8,350,7,38,DI,16,6
8,350,7,48,DI,16,6
8,350,7,58,DI,16,6
9,350,8,8,DI,16,6
9,350,8,18,DI,16,6
9,350,8,28,DI,16,6
9,350,8,38,DI,16,6
9,350,8,48,DI,16,6
10,350,8,58,DI,16,6
37,350,9,8,DI,16,6
50,350,9,19,DI,16,6
62,350,9,29,DI,16,6
72,350,9,39,DI,16,6
74,350,9,49,DI,16,6
78,350,9,59,DI,16,6
86,350,10,9,DI,16,6
94,350,10,19,DI,16,6
105,350,10,29,DI,16,6
116,350,10,39,DI,16,6
121,350,10,49,DI,16,6
123,350,10,59,DI,16,6
122,350,11,9,DI,16,6
123,350,11,19,DI,16,6
119,350,11,29,DI,16,6
116,350,11,39,DI,16,6
115,350,11,49,DI,16,6
119,350,11,59,DI,16,6
120,350,12,9,DI,16,6
119,350,12,19,DI,16,6
115,350,12,29,DI,16,6
113,350,12,39,DI,16,6
109,350,12,49,DI,16,6
108,350,12,59,DI,16,6
117,350,13,9,DI,16,6
115,350,13,19,DI,16,6
121,350,13,29,DI,16,6
124,350,13,39,DI,16,6
128,350,13,50,DI,16,6
137,350,14,0,DI,16,6
147,350,14,10,DI,16,6
152,350,14,20,DI,16,6
162,350,14,30,DI,16,6
162,350,14,40,DI,16,6
168,350,14,50,DI,16,6
175,350,15,0,DI,16,6
185,350,15,10,DI,16,6
186,350,15,20,DI,16,6
195,350,15,30,DI,16,6
197,350,15,40,DI,16,6
201,350,15,50,DI,16,6
203,350,16,0,DI,16,6
218,350,16,10,DI,16,6
232,350,16,20,DI,16,6
240,350,16,30,DI,16,6
249,350,16,40,DI,16,6
251,350,16,50,DI,16,6
254,350,17,0,DI,16,6
271,350,17,10,DI,16,6
281,350,17,20,DI,16,6
302,350,17,30,DI,16,6
316,350,17,40,DI,16,6
330,350,17,50,DI,16,6
343,350,18,0,DI,16,6
342,350,18,10,DI,16,6
336,350,18,20,DI,16,6
348,350,18,30,DI,16,6
350,350,18,40,DI,16,6
350,350,18,51,DI,16,6
352,350,19,1,DI,16,6
351,350,19,12,DI,16,6
345,350,19,22,DI,16,6
337,350,19,32,DI,16,6
345,350,19,42,DI,16,6
348,350,19,52,DI,16,6
346,350,20,2,DI,16,6
333,350,20,12,DI,16,6
335,350,20,22,DI,16,6
322,350,20,32,DI,16,6
315,350,20,42,DI,16,6
291,350,20,52,DI,16,6
264,350,21,2,DI,16,6
256,350,21,12,DI,16,6
242,350,21,22,DI,16,6
221,350,21,32,DI,16,6
200,350,21,42,DI,16,6
166,350,21,52,DI,16,6
126,350,22,2,DI,16,6
98,350,22,12,DI,16,6
79,350,22,22,DI,16,6
77,350,22,32,DI,16,6
77,350,22,42,DI,16,6
77,350,22,52,DI,16,6
77,350,23,2,DI,16,6
77,350,23,12,DI,16,6
